回合结果，回合1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
"损益表, 千 USD, 全球",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
现金及等价物,2000,6900.66548220113,119417.35310928244,2000,2000,2000,19778.770764529538,129518.96923582797,2000,2000
总资产,733367.0204677857,739584.0582043815,848372.3803368899,730146.994610652,731085.1471501832,734005.8622663292,752908.4113473417,852683.5255379566,735103.2867620509,731222.8329663047
,,,,,,,,,,
股东权益,,,,,,,,,,
股本,298000,290000,400000,298000,300000,281800,291120,300000,281800,296000
资本公积,0,0,1098689.9139636313,0,0,0,0,0,0,0
本回合利润,-364064.5938444049,-149573.05702968314,-177414.68159089968,-412913.21649367886,-426773.23744653095,-138787.63826190773,-200324.94784901553,-301878.24014008325,-306621.4715350585,-580836.0687822624
留存盈余,135526.4591506692,60341.357687942604,151346.2836361375,135682.16815352003,151346.2836361375,0.42839891749341286,80045.05285716872,135775.38335105334,65.30715010534244,119792.3475965563
权益合计,69461.86530626428,200768.30065825945,1472621.5160088693,20768.951659841172,24573.04618960654,143012.79013700975,170840.1050081532,133897.1432109701,-24756.164384953176,-165043.7211857061
,,,,,,,,,,
股东负债,,,,,,,,,,
长期贷款,709788.929829001,509788.929829001,509788.929829001,499999.929829001,609788.929829001,509788.929829001,629788.929829001,609788.929829001,509788.929829001,99999.92982900102
短期贷款（无计划）,287438.91996268544,0,0,148232.94742828276,202591.32670719508,87286.61103875856,0,0,174997.52831612193,412921.4524572672
内部贷款,-355000,5000,-1155000,45000,-125000,-35000,-75000,95000,53000,365000
应付账款,21677.305369835005,24026.827717121076,20961.93449901963,16145.165693527077,19131.844424380644,28917.53126155984,27279.376510187627,13997.452497985674,22072.993001881197,18345.171865742577
负债合计,663905.1551615214,538815.7575461221,-624249.1356719794,709378.0429508109,706512.1009605767,590993.0721293194,582068.3063391886,718786.3823269866,759859.4511470041,896266.5541520108
,,,,,,,,,,
股东权益和负债总计,733367.0204677857,739584.0582043815,848372.3803368899,730146.9946106521,731085.1471501832,734005.8622663291,752908.4113473417,852683.5255379567,735103.2867620509,731222.8329663047
,,,,,,,,,,
"母公司现金流量表, 千 USD",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
来自经营活动的现金,,,,,,,,,,
息税折旧及摊销前利润(EBITDA),-144086.4320251532,26561.126874953043,-11134.015432094922,-223428.6508709567,-222791.70125062193,48793.10857302323,-17200.017513303552,-119676.49367751298,-103100.66773791204,-393232.63319363724
应收账变化(增 - / 减 +),-4406.500467785621,-5722.872722180364,-1994.5072276074334,-1186.4746106519615,-2124.6271501832434,-5045.342266329193,-6169.120582812186,3795.963697871237,-6142.766762050986,-2262.3129663047803
库存变化(增 - / 减 +),0,0,0,0,0,0,0,0,0,0
应付账变化(增 + / 减 -),1782.6236268700886,4132.145974156159,1067.2527560547132,-3749.5160494378397,-762.837318584272,9022.849518594925,7384.694767222711,-5897.229244979242,2178.311258916281,-1549.5098772223391
净融资费用（支出-，收入+）,-93753.16181925172,-49909.1839046362,-40055.666158804765,-63259.56562272216,-77756.53619590901,-61355.74683493095,-56899.93033571197,-55976.74646257025,-77295.80379714648,-61378.43558862512
所得税,0,0,0,0,0,0,0,0,0,0
总计,-240463.47068532044,-24938.783777707362,-52116.93606245241,-291624.2071537687,-303435.7019152985,-8585.131009641987,-72884.37366460501,-177754.50568719124,-184360.92703819321,-458422.8916257895
,,,,,,,,,,
投资活动产生的现金,,,,,,,,,,
工厂投资,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
融资前现金流量,-240463.47068532044,-24938.783777707362,-52116.93606245241,-291624.2071537687,-303435.7019152985,-8585.131009641987,-72884.37366460501,-177754.50568719124,-184360.92703819321,-458422.8916257895
,,,,,,,,,,
融资活动产生的现金,,,,,,,,,,
股息,-300,-20000,0,0,0,-125,0,-30000,0,0
股票发行和回购收益,-32179.59500573507,-165336.5398570526,1198689.9139636313,-32179.59500573507,0,-309668.65059103037,-146254.00434181155,0,-309668.65059103037,-64794.04940343953
来自子公司的股息,14659.770520266757,84331.6139088577,0,14515.479523117625,0,140247.7953538104,66072.77356284279,14429.099714915865,140187.67410499824,29240.11336385834
长期贷款变化(增加 + / 减少 -),199999.99999999994,0,0,-9789,99999.99999999994,0,119999.99999999994,99999.99999999994,0,-409789
短期贷款变化(增加 + / 减少 -),287438.91996268544,0,0,148232.94742828276,202591.32670719508,87286.61103875856,0,0,174997.52831612193,412921.4524572672
内部贷款变化,-400000,-40000,-1200000,0,-170000,-80000,-120000,50000,8000,320000
总计,69619.09547721707,-141004.92594819487,-1310.0860363687389,120779.83194566531,132591.32670719502,-162259.24419846144,-80181.23077896882,134429.0997149158,13516.551830089797,287578.516417686
,,,,,,,,,,
现金及等价物变化,-170844.3752081034,-165943.70972590224,-53427.02209882115,-170844.3752081034,-170844.37520810345,-170844.37520810342,-153065.60444357383,-43325.40597227545,-170844.37520810342,-170844.3752081035
现金 1.1.,172844.37520810336,172844.37520810336,172844.37520810336,172844.37520810336,172844.37520810336,172844.37520810336,172844.37520810336,172844.37520810336,172844.37520810336,172844.37520810336
现金 31.12.,2000,6900.66548220113,119417.35310928244,2000,2000,2000,19778.770764529538,129518.96923582797,2000,2000
,,,,,,,,,,
"损益表, 千 USD, 亚洲",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
销售额,,,,,,,,,,
本地销售额,602731.5196618502,589418.5710599049,858451.8290232221,411886.10926360876,448382.2788852496,886608.2365469276,706889.8351474062,442263.04109536763,587111.2199016458,460865.6197304581
出口销售额,58146.124994804006,7742.69563570585,0,0,0,123858.29728055571,0,0,76363.095841572,194704.35704662968
销售额合计,660877.6446566542,597161.2666956107,858451.8290232221,411886.10926360876,448382.2788852496,1010466.5338274833,706889.8351474062,442263.04109536763,663474.3157432178,655569.9767770878
,,,,,,,,,,
成本和费用,,,,,,,,,,
自身生产成本,0,0,0,0,0,0,0,0,0,0
功能成本,33164.66856457328,29233.67391173391,149766.8267865129,20541.472457887518,20603.690159784535,75919.88551912562,36280.946326509875,19372.662723274952,44581.161985343526,44038.4332823127
外包生产成本,168967.81439999997,151234.0059390582,130627.72799999999,130627.72799999999,130627.72799999999,168967.81439999997,130627.72799999999,0,152901.18899999998,168967.81439999997
运输和关税,69106.58639189677,44766.65401646257,69278.67436275829,19218.31303024691,19358.302859515206,106280.52402239802,54632.129234647204,46477.32260832989,62839.19410487208,37341.31515868526
研发,0,0,0,0,0,0,0,0,0,0
广告,26000,34000,50000,25000,33000,40300,72000,32500,21888,29900
行政管理,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
进口产品成本,457544.715019738,184473.63868605613,341675.2432462027,69707.79856940063,200875.05705293413,539346.2697653229,238045.24320605886,307767.2192825108,328329.3013314926,172628.2687848696
成本与费用合计,764783.784376208,453707.9725533108,751348.4723954739,275095.31205753505,414464.7780722339,940814.4937068465,541586.046767216,416117.20461411565,620538.8464217081,462875.8316258675
,,,,,,,,,,
息税折旧及摊销前利润(EBITDA),-103906.13971955376,143453.2941422999,107103.35662774823,136790.7972060737,33917.50081301568,69652.04012063681,165303.78838019026,26145.836481251987,42935.46932150971,192694.14515122026
固定资产折旧,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
息税前利润(EBIT),-103906.13971955376,143453.2941422999,107103.35662774823,136790.7972060737,33917.50081301568,69652.04012063681,165303.78838019026,26145.836481251987,42935.46932150971,192694.14515122026
财务费用净额,-10282.847144481166,-2361.735206494881,-31215.3919707775,-4368.317843273732,-5906.776873474247,-2543.3493909443123,-4227.558542301158,-2092.631858602501,3510.115940522103,4333.490178112864
